term,weight_norm
artificial intelligence,1.0
generative artificial,0.7320359281437125
genai,0.6047904191616766
generative ai,0.4101796407185629
research,0.3937125748502994
ai,0.3458083832335329
study,0.2949101796407186
design,0.27694610778443113
model,0.27694610778443113
gai,0.2694610778443114
data,0.2634730538922156
chatgpt,0.25299401197604793
student,0.24251497005988024
potential,0.22904191616766467
application,0.218562874251497
human,0.20359281437125748
language model,0.20059880239520958
challenge,0.19760479041916168
technology,0.19311377245508982
based,0.18712574850299402
learning,0.18113772455089822
large language,0.1781437125748503
education,0.16766467065868262
intelligence ai,0.16766467065868262
intelligence genai,0.16766467065868262
adoption,0.1437125748502994
analysis,0.14221556886227546
impact,0.14221556886227546
information,0.1407185628742515
provide,0.13922155688622753
tool,0.1377245508982036
development,0.1377245508982036
including,0.1347305389221557
system,0.13323353293413173
review,0.12874251497005987
framework,0.12874251497005987
management,0.12574850299401197
performance,0.12425149700598802
new,0.12125748502994012
studies,0.11676646706586827
method,0.11526946107784432
integration,0.1122754491017964
approach,0.1092814371257485
user,0.1092814371257485
practice,0.10778443113772455
result,0.1062874251497006
knowledge,0.10329341317365269
process,0.10179640718562874
paper,0.09880239520958084
significant,0.09730538922155689
chatbot,0.09730538922155689
image,0.09730538922155689
support,0.09580838323353294
offer,0.09431137724550898
finding,0.09431137724550898
text,0.09281437125748503
innovation,0.09281437125748503
enhance,0.09131736526946108
understanding,0.09131736526946108
llm,0.09131736526946108
level,0.08982035928143713
technologies,0.08832335329341318
healthcare,0.08832335329341318
need,0.08682634730538923
quality,0.08682634730538923
patient,0.08682634730538923
field,0.08532934131736528
digital,0.08532934131736528
context,0.08383233532934131
assessment,0.08383233532934131
critical,0.08233532934131736
efficiency,0.08233532934131736
related,0.08083832335329341
intelligence gai,0.08083832335329341
case,0.07934131736526946
explore,0.07934131736526946
gen ai,0.07934131736526946
two,0.07784431137724551
engagement,0.07784431137724551
risk,0.07784431137724551
role,0.07784431137724551
work,0.07784431137724551
genai tool,0.07784431137724551
question,0.07634730538922156
across,0.0748502994011976
perceived,0.0748502994011976
article,0.0748502994011976
generate,0.07335329341317365
current,0.07335329341317365
future,0.07335329341317365
experience,0.07335329341317365
response,0.07335329341317365
gpt,0.07335329341317365
task,0.07335329341317365
well,0.0718562874251497
capabilities,0.0718562874251497
concern,0.0718562874251497
researcher,0.0718562874251497
highlight,0.07035928143712575
factor,0.07035928143712575
benefit,0.07035928143712575
perception,0.07035928143712575
insight,0.07035928143712575
within,0.0688622754491018
teaching,0.0688622754491018
s,0.0688622754491018
resource,0.0688622754491018
among,0.06736526946107785
three,0.06736526946107785
content,0.06736526946107785
key,0.06736526946107785
interaction,0.06736526946107785
ethical,0.0658682634730539
medical,0.0658682634730539
teacher,0.0658682634730539
perspective,0.0658682634730539
clinical,0.06437125748502993
cognitive,0.06437125748502993
gap,0.06437125748502993
decision making,0.06437125748502993
purpose,0.06287425149700598
implications,0.06287425149700598
significantly,0.06287425149700598
social,0.06287425149700598
issue,0.06287425149700598
background,0.061377245508982034
may,0.061377245508982034
accuracy,0.061377245508982034
examine,0.061377245508982034
high,0.061377245508982034
particularly,0.061377245508982034
